"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2024","4,784.9","4,588.4","4,840.6","4,482.1","","2.39%"
"04/01/2024","4,673.3","4,921.5","5,030.3","4,288.3","","-4.73%"
"03/01/2024","4,905.2","4,781.0","5,217.4","4,620.9","","3.77%"
"02/01/2024","4,726.9","4,270.6","4,737.1","4,226.6","","10.94%"
"01/01/2024","4,260.9","4,100.2","4,566.6","3,875.2","","2.05%"
"12/01/2023","4,175.5","3,696.5","4,233.7","3,638.7","","12.11%"
"11/01/2023","3,724.6","3,224.9","3,817.8","3,218.2","","15.82%"
"10/01/2023","3,215.9","3,440.1","3,596.8","3,151.0","","-6.36%"
"09/01/2023","3,434.3","3,694.7","3,711.6","3,310.1","","-6.45%"
"08/01/2023","3,670.9","3,825.4","3,866.8","3,405.3","","-4.94%"
"07/01/2023","3,861.6","3,691.3","3,875.2","3,532.7","","5.13%"
"06/01/2023","3,673.1","3,469.7","3,743.7","3,417.5","","6.37%"
"05/01/2023","3,453.2","3,007.2","3,643.9","2,913.1","","15.30%"
"04/01/2023","2,995.0","3,209.7","3,222.3","2,867.5","","-7.30%"
"03/01/2023","3,230.9","2,967.4","3,233.9","2,861.4","","9.21%"
"02/01/2023","2,958.4","2,935.9","3,168.7","2,875.6","","1.25%"
"01/01/2023","2,921.9","2,574.7","2,971.0","2,489.3","","15.39%"
"12/01/2022","2,532.1","2,833.4","2,913.1","2,445.2","","-10.43%"
"11/01/2022","2,826.8","2,436.7","2,848.7","2,259.9","","18.55%"
"10/01/2022","2,384.5","2,343.1","2,563.3","2,089.8","","3.37%"
"09/01/2022","2,306.7","2,608.2","2,745.5","2,306.7","","-13.85%"
"08/01/2022","2,677.4","2,942.8","3,087.4","2,657.0","","-9.76%"
"07/01/2022","2,967.1","2,512.1","2,975.3","2,386.7","","16.07%"
"06/01/2022","2,556.3","3,117.3","3,158.6","2,514.4","","-17.50%"
"05/01/2022","3,098.7","2,936.0","3,166.7","2,754.7","","6.13%"
"04/01/2022","2,919.7","3,454.1","3,455.8","2,875.4","","-14.85%"
"03/01/2022","3,429.0","3,419.5","3,633.1","3,030.1","","-0.01%"
"02/01/2022","3,429.5","3,504.7","3,674.4","3,152.7","","-1.54%"
"01/01/2022","3,483.2","3,974.3","4,068.1","3,147.5","","-11.73%"
"12/01/2021","3,946.2","3,896.1","4,055.0","3,687.9","","2.95%"
"11/01/2021","3,833.2","3,459.6","3,982.1","3,451.7","","11.07%"
"10/01/2021","3,451.3","3,275.3","3,452.8","3,165.4","","5.93%"
"09/01/2021","3,258.1","3,431.0","3,484.2","3,257.2","","-4.67%"
"08/01/2021","3,417.7","3,388.5","3,477.9","3,166.8","","1.82%"
"07/01/2021","3,356.5","3,336.1","3,361.2","3,088.3","","0.33%"
"06/01/2021","3,345.3","3,210.1","3,351.0","3,127.0","","4.98%"
"05/01/2021","3,186.6","3,130.1","3,200.3","2,842.3","","2.50%"
"04/01/2021","3,109.0","3,187.3","3,314.2","3,101.4","","-0.51%"
"03/01/2021","3,124.9","3,118.4","3,172.4","2,759.2","","1.87%"
"02/01/2021","3,067.6","2,938.7","3,269.0","2,924.7","","6.25%"
"01/01/2021","2,887.1","2,822.0","3,141.0","2,763.1","","3.28%"
"12/01/2020","2,795.5","2,692.1","2,825.9","2,675.4","","4.96%"
"11/01/2020","2,663.5","2,269.4","2,666.1","2,238.7","","18.58%"
"10/01/2020","2,246.2","2,279.6","2,449.2","2,219.4","","0.09%"
"09/01/2020","2,244.1","2,275.6","2,382.3","2,102.2","","-0.72%"
"08/01/2020","2,260.4","2,156.6","2,277.8","2,148.1","","5.80%"
"07/01/2020","2,136.4","1,993.8","2,148.6","1,966.0","","7.01%"
"06/01/2020","1,996.4","1,841.6","2,030.5","1,828.4","","7.77%"
"05/01/2020","1,852.5","1,682.1","1,857.6","1,625.8","","7.01%"
"04/01/2020","1,731.2","1,455.0","1,803.0","1,414.3","","14.60%"
"03/01/2020","1,510.6","1,727.6","1,797.0","1,234.0","","-11.43%"
"02/01/2020","1,705.5","1,794.7","1,983.7","1,605.9","","-4.72%"
"01/01/2020","1,789.9","1,875.3","1,975.0","1,782.2","","-3.23%"
"12/01/2019","1,849.6","1,721.0","1,871.2","1,647.0","","7.74%"
"11/01/2019","1,716.8","1,667.3","1,758.3","1,661.7","","3.97%"
"10/01/2019","1,651.2","1,572.2","1,691.2","1,502.7","","5.93%"
"09/01/2019","1,558.8","1,490.7","1,625.2","1,470.4","","3.58%"
"08/01/2019","1,504.9","1,539.1","1,579.5","1,411.7","","-2.43%"
"07/01/2019","1,542.4","1,524.1","1,625.1","1,440.1","","5.72%"
"06/01/2019","1,459.0","1,313.3","1,471.8","1,293.1","","12.56%"
"05/01/2019","1,296.2","1,570.4","1,579.2","1,287.0","","-16.71%"
"04/01/2019","1,556.2","1,417.7","1,604.6","1,410.5","","11.52%"
"03/01/2019","1,395.5","1,365.6","1,450.8","1,292.8","","3.36%"
"02/01/2019","1,350.2","1,275.9","1,391.4","1,274.7","","6.14%"
"01/01/2019","1,272.1","1,131.5","1,285.4","1,094.6","","10.12%"
"12/01/2018","1,155.2","1,278.7","1,281.3","1,066.4","","-6.81%"
"11/01/2018","1,239.6","1,210.6","1,261.5","1,143.9","","3.10%"
"10/01/2018","1,202.3","1,370.9","1,389.5","1,119.4","","-12.03%"
"09/01/2018","1,366.7","1,395.8","1,413.5","1,316.8","","-2.46%"
"08/01/2018","1,401.2","1,367.8","1,410.1","1,304.2","","2.46%"
"07/01/2018","1,367.5","1,297.9","1,391.6","1,293.8","","4.10%"
"06/01/2018","1,313.7","1,391.5","1,440.5","1,295.7","","-4.74%"
"05/01/2018","1,379.0","1,242.7","1,399.8","1,240.3","","10.82%"
"04/01/2018","1,244.4","1,316.8","1,360.6","1,223.1","","-6.36%"
"03/01/2018","1,328.9","1,362.5","1,464.6","1,294.3","","-2.43%"
"02/01/2018","1,362.0","1,352.5","1,398.0","1,203.7","","0.04%"
"01/01/2018","1,361.5","1,261.0","1,393.4","1,258.8","","8.66%"
"12/01/2017","1,253.0","1,262.7","1,291.3","1,211.5","","-1.53%"
"11/01/2017","1,272.5","1,284.1","1,342.0","1,252.4","","-0.24%"
"10/01/2017","1,275.6","1,176.6","1,279.3","1,170.7","","8.87%"
"09/01/2017","1,171.7","1,117.7","1,172.9","1,090.2","","5.15%"
"08/01/2017","1,114.3","1,087.8","1,115.5","1,052.7","","2.68%"
"07/01/2017","1,085.2","1,040.9","1,120.5","1,020.4","","4.86%"
"06/01/2017","1,034.9","1,094.2","1,149.9","1,026.0","","-5.18%"
"05/01/2017","1,091.4","1,007.7","1,101.8","998.9","","8.54%"
"04/01/2017","1,005.5","1,012.8","1,024.6","960.0","","-0.58%"
"03/01/2017","1,011.4","980.8","1,017.1","963.0","","4.33%"
"02/01/2017","969.4","955.5","991.2","948.5","","2.66%"
"01/01/2017","944.3","910.8","962.3","898.5","","4.17%"
"12/01/2016","906.5","878.9","944.2","832.1","","3.07%"
"11/01/2016","879.5","826.4","891.5","797.7","","6.80%"
"10/01/2016","823.5","836.7","844.3","790.2","","-1.45%"
"09/01/2016","835.6","802.1","840.5","760.1","","4.25%"
"08/01/2016","801.5","768.1","808.3","751.1","","4.53%"
"07/01/2016","766.8","684.6","782.1","661.3","","10.86%"
"06/01/2016","691.7","696.6","716.7","644.4","","-1.10%"
"05/01/2016","699.4","647.1","700.0","625.8","","8.38%"
"04/01/2016","645.3","672.1","685.4","640.5","","-4.67%"
"03/01/2016","676.9","627.6","684.7","626.5","","8.81%"
"02/01/2016","622.1","608.8","633.0","552.3","","1.37%"
"01/01/2016","613.7","650.4","658.8","562.8","","-7.51%"
"12/01/2015","663.5","679.5","693.1","650.1","","-2.01%"
"11/01/2015","677.1","662.9","677.9","641.4","","2.20%"
"10/01/2015","662.5","602.3","685.8","585.4","","9.92%"
"09/01/2015","602.7","595.5","633.8","573.6","","-1.36%"
"08/01/2015","611.0","645.9","653.7","543.0","","-5.46%"
"07/01/2015","646.3","687.6","690.9","630.9","","-5.03%"
"06/01/2015","680.5","748.8","751.2","677.3","","-8.71%"
"05/01/2015","745.4","692.1","749.2","682.7","","8.61%"
"04/01/2015","686.3","693.2","717.1","679.3","","-1.32%"
"03/01/2015","695.5","720.9","734.5","660.6","","-2.67%"
"02/01/2015","714.6","653.8","718.8","641.1","","9.42%"
"01/01/2015","653.1","690.3","694.0","651.6","","-4.92%"
"12/01/2014","686.9","684.0","704.4","656.7","","0.18%"
"11/01/2014","685.7","640.8","687.7","632.2","","6.99%"
"10/01/2014","640.9","637.6","643.8","545.3","","0.38%"
"09/01/2014","638.5","646.0","659.5","631.0","","-1.04%"
"08/01/2014","645.2","608.1","647.2","597.7","","6.21%"
"07/01/2014","607.5","638.2","652.3","605.1","","-4.47%"
"06/01/2014","635.9","603.2","637.9","597.6","","6.05%"
"05/01/2014","599.6","576.4","601.1","565.6","","4.10%"
"04/01/2014","576.0","589.5","601.4","558.7","","-1.82%"
"03/01/2014","586.7","558.3","591.1","555.0","","4.06%"
"02/01/2014","563.8","528.1","568.2","512.7","","6.54%"
"01/01/2014","529.2","530.7","547.9","522.3","","-1.08%"
"12/01/2013","535.0","510.4","535.8","504.3","","4.86%"
"11/01/2013","510.2","507.9","512.5","493.5","","0.61%"
"10/01/2013","507.1","491.5","510.2","480.1","","3.32%"
"09/01/2013","490.8","462.9","500.2","459.2","","7.23%"
"08/01/2013","457.7","481.9","486.8","450.6","","-4.21%"
"07/01/2013","477.8","470.0","493.2","464.8","","2.01%"
"06/01/2013","468.4","470.6","482.1","448.2","","-0.04%"
"05/01/2013","468.6","442.8","476.5","440.3","","5.45%"
"04/01/2013","444.4","435.7","444.4","410.7","","1.76%"
"03/01/2013","436.7","423.6","443.4","419.3","","2.37%"
"02/01/2013","426.6","415.7","433.9","413.3","","3.37%"
"01/01/2013","412.7","392.8","417.7","391.1","","7.45%"
"12/01/2012","384.1","376.8","393.2","371.0","","2.59%"
"11/01/2012","374.4","367.4","384.7","349.8","","2.02%"
"10/01/2012","367.0","384.1","389.4","359.9","","-4.00%"
"09/01/2012","382.3","395.8","410.8","372.0","","-3.51%"
"08/01/2012","396.2","386.2","408.8","378.5","","3.26%"
"07/01/2012","383.7","386.7","390.3","345.5","","-0.47%"
"06/01/2012","385.5","361.9","390.1","348.9","","4.64%"
"05/01/2012","368.4","413.0","418.1","363.6","","-10.89%"
"04/01/2012","413.4","436.8","439.9","395.9","","-5.75%"
"03/01/2012","438.6","425.9","445.0","401.2","","3.39%"
"02/01/2012","424.2","414.6","438.6","413.0","","3.74%"
"01/01/2012","408.9","371.6","420.1","364.1","","12.21%"
"12/01/2011","364.4","373.2","382.9","342.7","","-2.38%"
"11/01/2011","373.3","376.1","396.1","344.1","","-3.42%"
"10/01/2011","386.5","336.7","398.0","322.2","","14.08%"
"09/01/2011","338.8","356.8","385.8","331.0","","-4.78%"
"08/01/2011","355.8","391.6","394.3","325.4","","-8.04%"
"07/01/2011","386.9","411.2","422.6","381.6","","-5.73%"
"06/01/2011","410.4","438.2","438.5","387.0","","-6.64%"
"05/01/2011","439.6","450.6","450.8","417.9","","-2.22%"
"04/01/2011","449.6","440.5","451.2","420.1","","2.79%"
"03/01/2011","437.4","459.4","466.2","408.7","","-4.62%"
"02/01/2011","458.6","445.1","474.3","438.6","","4.11%"
"01/01/2011","440.5","414.8","452.1","411.2","","6.97%"
"12/01/2010","411.8","396.1","419.2","396.1","","5.56%"
"11/01/2010","390.1","373.6","399.2","368.6","","4.70%"
"10/01/2010","372.6","351.1","373.8","339.5","","6.70%"
"09/01/2010","349.2","312.3","356.2","311.7","","13.56%"
"08/01/2010","307.5","352.7","356.6","305.8","","-11.84%"
"07/01/2010","348.8","332.3","371.0","323.6","","4.97%"
"06/01/2010","332.3","354.1","377.5","326.2","","-6.58%"
"05/01/2010","355.7","378.1","387.7","326.8","","-5.42%"
"04/01/2010","376.1","369.8","404.7","363.9","","2.59%"
"03/01/2010","366.6","341.5","372.9","341.5","","8.17%"
"02/01/2010","338.9","317.4","346.0","310.3","","7.21%"
"01/01/2010","316.1","364.0","370.9","313.1","","-12.17%"
"12/01/2009","359.9","313.8","364.3","313.8","","16.06%"
"11/01/2009","310.1","297.1","325.2","288.1","","4.55%"
"10/01/2009","296.6","326.6","337.2","295.3","","-8.96%"
"09/01/2009","325.8","305.5","337.0","295.8","","6.40%"
"08/01/2009","306.2","304.0","316.3","285.2","","1.49%"
"07/01/2009","301.7","263.8","309.2","247.2","","14.67%"
"06/01/2009","263.1","274.4","286.9","248.9","","-3.02%"
"05/01/2009","271.3","258.5","272.9","235.6","","4.95%"
"04/01/2009","258.5","228.1","265.2","225.4","","11.95%"
"03/01/2009","230.9","196.9","245.2","188.2","","16.03%"
"02/01/2009","199.0","205.5","231.3","188.6","","-4.46%"
"01/01/2009","208.3","212.1","236.1","195.0","","-1.84%"
"12/01/2008","212.2","192.9","223.9","179.0","","7.06%"
"11/01/2008","198.2","239.9","247.8","167.6","","-17.24%"
"10/01/2008","239.5","306.6","306.7","202.4","","-21.96%"
"09/01/2008","306.9","353.2","361.9","293.3","","-13.01%"
"08/01/2008","352.8","340.9","379.3","333.4","","3.49%"
"07/01/2008","340.9","367.8","370.0","330.2","","-7.41%"
"06/01/2008","368.2","415.3","420.0","362.6","","-11.32%"
"05/01/2008","415.2","385.1","429.4","384.5","","7.79%"
