"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2024","20,330.32","20,360.67","20,521.49","20,222.44","4.75B","-0.32%"
"04/01/2024","20,396.60","20,319.73","20,883.69","19,291.88","4.33B","0.50%"
"03/01/2024","20,294.45","19,021.35","20,397.07","18,923.46","88.68B","7.00%"
"02/01/2024","18,966.77","17,871.27","19,023.01","17,832.95","43.96B","6.02%"
"01/01/2024","17,889.56","17,939.79","18,138.74","17,151.58","62.12B","-0.23%"
"12/01/2023","17,930.81","17,422.35","17,945.70","17,252.57","74.90B","2.85%"
"11/01/2023","17,433.85","16,027.72","17,441.79","15,978.26","65.83B","8.95%"
"10/01/2023","16,001.27","16,382.96","16,825.91","15,975.91","54.85B","-2.16%"
"09/01/2023","16,353.74","16,640.92","16,920.92","16,202.43","55.43B","-1.69%"
"08/01/2023","16,634.51","17,141.97","17,252.32","16,264.65","76.13B","-2.98%"
"07/01/2023","17,145.43","16,946.71","17,463.76","16,593.84","90.90B","1.36%"
"06/01/2023","16,915.54","16,511.00","17,346.32","16,477.43","82.32B","2.03%"
"05/01/2023","16,578.96","15,588.68","16,683.76","15,424.42","68.60B","6.42%"
"04/01/2023","15,579.18","15,838.07","15,973.82","15,284.46","51.40B","-1.82%"
"03/01/2023","15,868.06","15,435.38","15,951.80","15,186.74","67.37B","2.35%"
"02/01/2023","15,503.79","15,346.35","15,717.96","15,291.68","47.43B","1.56%"
"01/01/2023","15,265.20","14,108.16","15,493.82","14,001.97","28.39B","7.98%"
"12/01/2022","14,137.69","15,059.92","15,152.38","13,981.63","60.36B","-4.99%"
"11/01/2022","14,879.55","12,933.12","14,879.55","12,868.25","61.59B","14.90%"
"10/01/2022","12,949.75","13,359.26","13,902.02","12,629.48","50.23B","-3.54%"
"09/01/2022","13,424.58","14,981.00","14,981.00","13,274.72","58.43B","-11.07%"
"08/01/2022","15,095.44","14,982.27","15,475.89","14,545.69","66.04B","0.64%"
"07/01/2022","15,000.07","14,812.13","15,035.27","13,928.66","67.28B","1.18%"
"06/01/2022","14,825.73","16,718.91","16,811.04","14,825.73","67.00B","-11.79%"
"05/01/2022","16,807.77","16,593.21","16,807.77","15,616.68","68.92B","1.30%"
"04/01/2022","16,592.18","17,657.76","17,657.76","16,219.41","77.69B","-6.22%"
"03/01/2022","17,693.47","17,657.50","18,026.03","16,764.78","95.38B","0.23%"
"02/01/2022","17,652.18","17,750.70","18,338.05","17,554.97","64.37B","-0.13%"
"01/01/2022","17,674.40","18,260.23","18,619.61","17,633.03","69.55B","-2.99%"
"12/01/2021","18,218.84","17,428.61","18,291.25","17,374.59","95.21B","4.54%"
"11/01/2021","17,427.76","17,021.77","17,986.18","17,021.77","119.61B","2.59%"
"10/01/2021","16,987.41","16,883.00","17,104.86","16,162.17","80.14B","0.31%"
"09/01/2021","16,934.77","17,463.80","17,633.67","16,767.20","82.38B","-3.18%"
